request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_64,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_65,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_66,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_67,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_68,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_69,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_70,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_71,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_72,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_73,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_74,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_75,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_76,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_77,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_78,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_79,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_80,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_81,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_82,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_83,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_84,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_85,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_86,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_87,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_88,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_89,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_90,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_91,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_92,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_93,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_94,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_95,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_96,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_97,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_98,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_99,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_100,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_101,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_102,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_103,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_104,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_105,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_106,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_107,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_108,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_109,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_110,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_111,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_112,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_113,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_114,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_115,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_116,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_117,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_118,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_119,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_120,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_121,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_122,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_123,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_124,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_125,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_126,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_127,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_128,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_129,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_130,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_131,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_132,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_133,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_134,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_135,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_136,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_137,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_138,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_139,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_140,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_141,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_142,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_143,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_144,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_145,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_146,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_147,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_148,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_149,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_150,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_151,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_152,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_153,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_154,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_155,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_156,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_157,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_158,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_159,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_160,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_161,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_162,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_163,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_164,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_165,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_166,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_167,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_168,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_169,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_170,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_171,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_172,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_173,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_174,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_175,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_176,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_177,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_178,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_179,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_180,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_181,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_182,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_183,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_184,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_185,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_186,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_187,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_188,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_189,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_190,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_191,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_192,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_193,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_194,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_195,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_196,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_197,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_198,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_199,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_200,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_201,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_202,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_203,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_204,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_205,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_206,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_207,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_208,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_209,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_210,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_211,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_212,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_213,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_214,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_215,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_216,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_217,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_218,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_219,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_220,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_221,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_222,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_223,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_224,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_225,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_226,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_227,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_228,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_229,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_230,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_231,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_232,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_233,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_234,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_235,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_236,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_237,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_238,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_239,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_240,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_241,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_242,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_243,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_244,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_245,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_246,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_247,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_248,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_249,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_250,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_251,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_252,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_253,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_254,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_255,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_256,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_257,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_258,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_259,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_260,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_261,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_262,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_263,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_264,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_265,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_266,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_267,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_268,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_269,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_270,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_271,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_272,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_273,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_274,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_275,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
